probe,EntrezGene.ID,coefficient
DCN,1634,1
CSPG2,1462,1
CDH11,1009,1
COL3A1,1281,1
FAP,2191,1
SERPINF1,5176,1
FBN1,2200,1
PDGFRL,5157,1
CTSK,1513,1
PRSS11,5654,1
ASPN,54829,1
SPARC,6678,1
COL5A2,1290,1
LOXL1,4016,1
MMP2,4313,1
SPON1,10418,1
SFRP4,6424,1
ITGBL1,9358,1
CALD1,800,1
COPZ2,51226,1
MFAP2,4237,1
ANGPTL2,23452,1
PLAU,5328,1
COL1A2,1278,1
LRRC17,10234,1
C1QTNF3,114899,1
SNAI2,6591,1
PCOLCE,5118,1
POSTN,10631,1
ECM2,1842,1
FBLN1,2192,1
ADAM12,8038,1
MMP11,4320,1
AEBP1,165,1
PDGFRB,5159,1
GAS1,2619,1
COL6A3,1293,1
RARRES2,5919,1
COL6A1,1291,1
C1R,715,1
NDN,4692,1
TGFB3,7043,1
LRP1,4035,1
COL10A1,1300,1
DPYSL3,1809,1
OLFML2B,25903,1
MMP14,4323,1
DACT1,51339,1
MGC3047,54587,1
THBS2,7058,1
